integer,nameOfApplicant,typeOfConstruction,sizeOfConstruction,constructionLocationAddress,termOfTheContract,contractNumber,durationOfTheContract,dateOfTheResolution,contactPointHasEmail,contactPointHasTelephone
5431,Фізична особа-підприємець Слободянюк Олександр Григорович,Кронштейн на фасаді,0.80 х 0.80 х 2,Сумська вул. 1,2022-03-22,null,null,2017-03-22,null,null
5432,Фізична особа-підприємець Слободянюк Олександр Григорович,Щит на фасаді,1.05 х 2.63 х 1,Сумська вул. 1,2022-03-22,null,null,2017-03-22,null,null
5433,Фізична особа-підприємець Штельмах Олексій Петрович,Щит на фасаді,2.83 х 0.90 х 1,Людвіга Свободи просп. 39,2022-03-22,null,null,2017-03-22,null,null
5434,Фізична особа-підприємець Іванчихіна Ірина Миколаївна,Щит на фасаді,3.50 х 0.85 х 1,Людвіга Свободи просп. 35,2022-03-22,null,null,2017-03-22,null,null
5435,"Товариство з обмеженою відповідальністю ""Нова пошта""",Щит на фасаді,11.21 х 1.90 х 1,Ювілейний просп. 89,2022-03-22,null,null,2017-03-22,null,null
5436,Фізична особа-підприємець Зінченко Сергій Анатолійович,Щит на фасаді,6.00 х 0.80 х 1,Академіка Павлова вул. 150,2022-08-21,null,null,2017-08-21,null,null
5437,Фізична особа-підприємець Зінченко Сергій Анатолійович,Щит на фасаді,8.90 х 0.80 х 1,Академіка Павлова вул. 150,2022-08-21,null,null,2017-08-21,null,null
5438,Фізична особа-підприємець Зінченко Сергій Анатолійович,Щит на фасаді,6.60 х 0.80 х 1,Академіка Павлова вул. 150,2022-08-21,null,null,2017-08-21,null,null
5439,"Товариство з обмеженою відповідальністю ""Руш""",Щит на фасаді,3.00 х 2.00 х 1,Гвардійців-Широнінців вул. 64,2022-09-06,null,null,2017-09-06,null,null
5440,Фізична особа-підприємець Курасова Ольга Михайлівна,Щит на фасаді,1.11 х 1.08 х 2,Космічна вул. - Науки просп. 17,2022-10-11,null,null,2017-10-11,null,null
5441,"Товариство з обмеженою відповідальністю ""Партнер Фінанс""",Щит виносний,0.70 х 1.00 х 2,Полтавський Шлях вул. 148/2,2021-12-31,3907,2020-12-31,2021-03-17,null,null
5442,Фізична особа-підприємець Монастирська Світлана Валеріївна,Щит на фасаді,2.33 х 1.14 х 1,Бакуліна вул. 33,2022-08-02,null,null,2017-08-02,null,null
5443,Фізична особа-підприємець Северин Віктор Вікторович,Щит на фасаді,5.40 х 1.00 х 1,Юрія Шевельова вул. - Бакуліна вул. 33,2022-07-05,null,null,2017-07-05,null,null
5444,Фізична особа-підприємець Монастирська Світлана Валеріївна,Щит на фасаді,2.50 х 0.32 х 1,Бакуліна вул. 33,2022-08-02,null,null,2017-08-02,null,null
5445,"Мале приватне підприємство ""Таіра""",Щит стаціонарний,1.20 х 1.80 х 2,Чичибабіна вул. - Незалежності просп. 7,2022-05-24,4926,2022-05-24,2017-05-24,null,null
5446,"Товариство з обмеженою відповідальністю ""Стьюдент тревел Юкрейн""",Щит на фасаді,4.00 х 0.90 х 1,Алчевських вул. 24,2021-12-31,4591,2021-12-31,2019-11-13,null,null
5447,Фізична особа-підприємець Савченко Богдан Вікторович,Щит на фасаді,11.50 х 1.22 х 1,Гімназійна наб. 22,2022-10-11,null,null,2017-10-11,null,null
5448,"Товариство з обмеженою відповідальністю ""Ф1-Реклама""",Щит на фасаді,7.00 х 9.00 х 1,Полтавський Шлях вул. 14,2022-11-29,null,null,2017-11-29,null,null
5449,Фізична особа-підприємець Удовіченко Максим Володимирович,Щит на фасаді,12.00 х 7.00 х 1,Кооперативна вул. 1-А,2022-05-24,null,null,2017-05-24,null,null
5450,Фізична особа-підприємець Удовіченко Максим Володимирович,Щит на фасаді,6.00 х 4.00 х 1,Кооперативна вул. 1-А,2022-05-24,null,null,2017-05-24,null,null
5451,Фізична особа-підприємець Удовіченко Максим Володимирович,Щит на фасаді,15.00 х 4.50 х 1,Кооперативна вул. 1-А,2022-05-24,null,null,2017-05-24,null,null
5452,Фізична особа-підприємець Теодорович Артем Юрійович,Щит на фасаді,2.60 х 0.50 х 1,Науки просп. - Данилевського вул. 18,2022-12-27,null,null,2017-12-27,null,null
5453,"Товариство з обмеженою відповідальністю ""АТБ-Маркет""",Щит стаціонарний,1.60 х 3.50 х 2,Академіка Павлова вул. 130-Б,2022-06-30,5017,2022-06-30,2018-10-24,null,null
5454,"Товариство з обмеженою відповідальністю ""Стормак""",Дахова конструкція,3.80 х 1.30 х 1,Привокзальний м-н 2,2023-05-25,null,null,2018-08-08,null,null
5455,"Товариство з обмеженою відповідальністю ""Стормак""",Щит на фасаді,5.00 х 2.50 х 1,Привокзальний м-н 2,2023-08-08,null,null,2018-08-08,null,null
5456,"Товариство з обмеженою відповідальністю ""Стормак""",Щит на фасаді,5.00 х 2.50 х 1,Привокзальний м-н 2,2023-08-08,null,null,2018-08-08,null,null
5457,Фізична особа-підприємець Целіх Ірина Анатоліївна,Щит на фасаді,5.82 х 0.98 х 1,Науки просп. 38,2022-07-05,null,null,2017-07-05,null,null
5458,"Товариство з обмеженою відповідальністю ""Прайм групп 3000""",Щит на фасаді,11.00 х 2.00 х 1,Полтавський Шлях вул. 33,2022-07-05,null,null,2017-07-05,null,null
5459,Фізична особа-підприємець Ластік Борис Олегович,Щит на фасаді,4.50 х 1.00 х 1,Гагаріна просп. 17,2022-10-11,null,null,2017-10-11,null,null
5460,"Рекламне агентство ""Стар"" у формі товариства з обмеженою відповідальністю",Щит стаціонарний,6.00 х 3.00 х 2,Олександрівський просп. (навпроти буд. № 2-Б),2022-06-21,5114,2022-06-21,2017-06-21,null,null
5461,"Рекламне агентство ""Стар"" у формі товариства з обмеженою відповідальністю",Щит стаціонарний,6.00 х 3.00 х 2,Морозова вул. - Героїв Сталінграда просп.,2022-06-21,5114,2022-06-21,2017-06-21,null,null
5462,"Рекламне агентство ""Стар"" у формі товариства з обмеженою відповідальністю",Щит стаціонарний,6.00 х 3.00 х 2,Василя Стуса вул. - Гвардійців-Широнінців вул. 26,2022-06-21,5114,2022-06-21,2017-06-21,null,null
5463,"Рекламне агентство ""Стар"" у формі товариства з обмеженою відповідальністю",Щит стаціонарний,6.00 х 3.00 х 2,Василя Стуса вул. - Тракторобудівників просп. 67-А,2022-06-21,5114,2022-06-21,2017-06-21,null,null
5464,"Рекламне агентство ""Стар"" у формі товариства з обмеженою відповідальністю",Щит стаціонарний,6.00 х 3.00 х 2,Баланевського вул. - Героїв Праці вул.,2022-06-21,5114,2022-06-21,2017-06-21,null,null
5465,"Рекламне агентство ""Стар"" у формі товариства з обмеженою відповідальністю",Щит стаціонарний,6.00 х 3.00 х 2,Роганська вул. - Роганський пр-д,2022-06-21,5114,2022-06-21,2017-06-21,null,null
5466,"Рекламне агентство ""Стар"" у формі товариства з обмеженою відповідальністю",Щит стаціонарний,6.00 х 3.00 х 2,Лосівська вул. (ст.м. Індустріальна),2022-06-21,5114,2022-06-21,2017-06-21,null,null
5467,"Рекламне агентство ""Стар"" у формі товариства з обмеженою відповідальністю",Щит стаціонарний,6.00 х 3.00 х 2,Олександрівський просп. - Мініна вул.,2022-06-21,5114,2022-06-21,2017-06-21,null,null
5468,"Приватне підприємство ""Юджи""",Щит на існуючій споруді,6.00 х 3.00 х 1,Конєва вул. - Нетіченська наб.,2021-12-31,4542,2021-12-31,2017-10-11,null,null
5469,"Приватне підприємство ""Юджи""",Щит на існуючій споруді,6.00 х 3.00 х 1,Конєва вул. - Нетіченська наб.,2021-12-31,4542,2021-12-31,2017-10-11,null,null
5470,Фізична особа-підприємець Бурма Юлія Миколаївна,Щит на фасаді,1.50 х 2.00 х 1,Культури вул. 22-В,2023-04-11,null,null,2018-04-11,null,null
5471,Фізична особа-підприємець Пащенко Оксана Геннадіївна,Щит на фасаді,1.80 х 0.40 х1,Культури вул. 22-В,2023-04-11,null,null,2018-04-11,null,null
5472,Фізична особа-підприємець Скорик Сергій Геннадійович,Щит на фасаді,7.25 х 0.80 х 1,Гагаріна просп. - Обоянська вул. 1-А,2025-09-23,null,null,2020-09-23,null,null
5473,"Товариство з обмеженою відповідальністю ""Руш""",Щит на фасаді,1.30 х 1.90 х 1,Валентинівська вул. 21,2022-10-11,null,null,2017-10-11,null,null
5474,"Товариство з обмеженою відповідальністю ""Руш""",Щит на фасаді,5.90 х 0.80 х 1,Валентинівська вул. 21,2022-10-11,null,null,2017-10-11,null,null
5475,"Товариство з обмеженою відповідальністю ""Руш""",Кронштейн на фасаді,1.00 х 1.50 х 2,Полтавський Шлях вул. - Розторгуївський пров. 2,2022-09-06,null,null,2017-09-06,null,null
5476,"Фірма ""Сатурн-Фарм"" у формі товариства з обмеженою відповідальністю",Щит на фасаді,2.00 х 0.20 х 1,Юри Зойфера вул. - Чичибабіна вул. 2,2021-12-31,4586,2021-12-31,2017-06-21,null,null
5477,"Фірма ""Сатурн-Фарм"" у формі товариства з обмеженою відповідальністю",Щит на фасаді,6.00 х 1.80 х 1,Юри Зойфера вул. - Чичибабіна вул. 2,2021-12-31,4586,2021-12-31,2017-06-21,null,null
5478,"Товариство з обмеженою відповідальністю ""Салон центральний""",Щит на фасаді,2.90 х 1.15 х 1,Вірменський пров. - Конституції м-н 2/2,2021-12-31,4656,2021-12-31,2017-10-11,null,null
5479,"Товариство з обмеженою відповідальністю ""Салон центральний""",Щит на фасаді,2.90 х 1.15 х 1,Вірменський пров. - Конституції м-н 2/2,2021-12-31,4656,2021-12-31,2017-10-11,null,null
5480,"Товариство з обмеженою відповідальністю ""Салон центральний""",Щит на фасаді,2.90 х 1.15 х 1,Конститутції м-н 2/2,2021-12-31,4656,2021-12-31,2017-10-11,null,null
5481,"Товариство з обмеженою відповідальністю ""Салон центральний""",Щит на фасаді,2.90 х 1.15 х 1,Конститутції м-н 2/2,2021-12-31,4656,2021-12-31,2017-10-11,null,null
5482,Приватний нотаріус Панченко Оксана Валеріївна,Щит на фасаді,4.20 х 0.65 х 1,Полтавський Шлях вул. 37,2021-12-31,274,2021-12-31,2017-07-19,null,null
5483,"Рекламне агентство ""Стар"" у формі товариства з обмеженою відповідальністю",Щит стаціонарний,6.00 х 3.00 х 2,Олімпійська вул. - Комунальний пр-д,2022-06-21,5114,2022-06-21,2017-06-21,null,null
5484,"Товариство з обмеженою відповідальністю ""Руш""",Щит на фасаді,10.60 х 0.70 х 1,Ювілейний просп. 74,2023-09-26,null,null,2018-09-26,null,null
5485,"Товариство з обмеженою відповідальністю ""Руш""",Кронштейн на фасаді,0.60 х 1.00 х 2,Московський просп. 256,2022-09-20,null,null,2017-09-20,null,null
5486,"Товариство з обмеженою відповідальністю ""Руш""",Щит на фасаді,14.30 х 1.00 х 1,Московський просп. 256,2022-09-20,null,null,2017-09-20,null,null
5487,"Товариство з обмеженою відповідальністю ""Руш""",Щит на фасаді,4.20 х 2.90 х 1,Ювілейний просп. 74,2023-09-26,null,null,2018-09-26,null,null
5488,"Товариство з обмеженою відповідальністю ""Руш""",Щит на фасаді,20.00 х 1.20 х 1,Гвардійців-Широнінців вул. 15/46,2023-06-06,null,null,2018-06-06,null,null
5489,"Товариство з обмеженою відповідальністю ""Руш""",Щит на фасаді,4.16 х 0.40 х 1,Сумська вул. 78,2023-08-29,null,null,2018-08-29,null,null
5490,"Товариство з обмеженою відповідальністю ""Руш""",Щит на фасаді,2.40 х 2.40 х 1,Академіка Проскури вул. 5,2023-06-06,null,null,2018-06-06,null,null
5491,"Товариство з обмеженою відповідальністю ""Руш""",Щит на фасаді,20.75 х 0.95 х 1,Академіка Проскури вул. 5,2023-06-06,null,null,2018-06-06,null,null
5492,"Товариство з обмеженою відповідальністю ""Руш""",Щит на огорожі,1.75 х 2.20 х 1,Академіка Проскури вул. 5,2023-06-06,null,null,2018-06-06,null,null
5493,"Товариство з обмеженою відповідальністю ""АТБ-Маркет""",Щит на фасаді,6.00 х 3.00 х 1,Амосова вул. 26,2022-09-06,null,null,2017-09-06,null,null
5494,"Товариство з обмеженою відповідальністю ""АТБ-Маркет""",Щит на фасаді,6.00 х 3.00 х 1,Амосова вул. 26,2022-09-06,null,null,2017-09-06,null,null
5495,"Товариство з обмеженою відповідальністю ""АТБ-Маркет""",Щит на фасаді,6.00 х 3.00 х 1,Амосова вул. 26,2022-09-06,null,null,2017-09-06,null,null
5496,"Товариство з обмеженою відповідальністю ""АТБ-Маркет""",Щит на фасаді,2.70 х 1.90 х 1,Амосова вул. 26,2022-09-06,null,null,2017-09-06,null,null
5497,"Товариство з обмеженою відповідальністю ""АТБ-Маркет""",Щит на фасаді,1.50 х 1.50 х 1,Амосова вул. 26,2022-09-06,null,null,2017-09-06,null,null
5498,"Товариство з обмеженою відповідальністю ""АТБ-Маркет""",Щит на фасаді,2.00 х 2.00 х 1,Амосова вул. 26,2022-09-06,null,null,2017-09-06,null,null
5499,"Товариство з обмеженою відповідальністю ""АТБ-Маркет""",Щит на фасаді,2.25 х 2.00 х 1,Амосова вул. 26,2022-09-06,null,null,2017-09-06,null,null
5500,"Товариство з обмеженою відповідальністю ""АТБ-Маркет""",Щит на фасаді,6.00 х 3.00 х 1,Амосова вул. 26,2022-09-06,null,null,2017-09-06,null,null
5501,Фізична особа підприємець Костюк Віталій Петрович,Щит на фасаді,1.50 х 0.70 х 1,Свободи вул. 24,2021-12-31,4674,2021-12-31,2017-08-02,null,null
5502,"Товариство з обмеженою відповідальністю ""Руш""",Щит на фасаді,3.70 х 0.40 х 1,Вернадського вул. - Гагаріна просп. 22-А,2023-07-11,null,null,2018-07-11,null,null
5503,"Товариство з обмеженою відповідальністю ""Руш""",Щит на фасаді,1.80 х 0.80 х 1,Вернадського вул. - Гагаріна просп. 22-А,2023-07-11,null,null,2018-07-11,null,null
5504,"Товариство з обмеженою відповідальністю ""Руш""",Щит на фасаді,4.55 х 1.50 х 1,Науки просп. 9,2023-11-14,null,null,2018-11-14,null,null
5505,"Товариство з обмеженою відповідальністю ""Руш""",Щит на фасаді,1.55 х 3.55 х 1,Науки просп. 9,2023-11-14,null,null,2018-11-14,null,null
5506,"Товариство з обмеженою відповідальністю ""Видавничий будинок ""Премьер""",Щит на фасаді,5.00 х 22.00 х 1,Клочківська вул. 152-А,2023-03-28,null,null,2018-03-28,null,null
5507,"Товариство з обмеженою відповідальністю ""Аптека низьких цін Харків""",Щит на фасаді,2.80 х 1.20 х 1,Маршала Жукова просп. - Московський просп. 144,2024-02-20,null,null,2019-02-20,null,null
5508,"Товариство з обмеженою відповідальністю ""Пивні магазини""",Щит на фасаді,3.00 х 0.80 х 1,Отакара Яроша вул. 29,2022-09-20,null,null,2017-09-20,null,null
5509,"Товариство з обмеженою відповідальністю ""Пивні магазини""",Щит на фасаді,3.00 х 0.80 х 1,Лісопарківська вул. 2,2022-08-02,null,null,2017-08-02,null,null
5510,"Товариство з обмеженою відповідальністю ""Пивні магазини""",Щит на фасаді,3.00 х 0.80 х 1,Гвардійців-Широнінців вул. 15/46,2022-08-02,null,null,2017-08-02,null,null
5511,"Товариство з обмеженою відповідальністю""Оптор і К""",Щит на огорожі,17.70 х 2.02 х 1,Матросова вул. 20 - Морозова вул.,2022-08-21,null,null,2017-08-21,null,null
5512,Фізична особа-підприємець Репешко Ольга Василівна,Кронштейн на фасаді,0.90 х 1.00 х 2,Багалія вул. 11,2022-07-19,null,null,2017-07-19,null,null
5513,"Товариство з обмеженою відповідальністю ""Стиль Д""",Щит на фасаді,12.00 х 3.00 х 1,Людвіга Свободи просп. 52-А,2024-12-11,null,null,2019-12-11,null,null
5514,"Товариство з обмеженою відповідальністю ""Стиль Д""",Щит на фасаді,12.00 х 1.20 х 1,Людвіга Свободи просп. 52-А,2024-12-11,null,null,2019-12-11,null,null
5515,"Товариство з обмеженою відповідальністю ""Стиль Д""",Щит на фасаді,10.40 х 1.00 х 1,Науки просп. 64,2024-12-11,null,null,2019-12-11,null,null
5516,"Товариство з обмеженою відповідальністю ""Стиль Д""",Щит на фасаді,2.20 х 2.50 х 1,Науки просп. 64 (1),2024-12-11,null,null,2019-12-11,null,null
5517,"Товариство з обмеженою відповідальністю ""Руш""",Щит на фасаді,3.30 х 1.30 х 1,Валентинівська вул. 21,2022-10-11,null,null,2017-10-11,null,null
5518,"Товариство з обмеженою відповідальністю ""Стиль Д""",Щит на фасаді,10.00 х 0.75 х 1,Валентинівська вул. 23,2024-04-10,null,null,2019-04-10,null,null
5519,"Товариство з обмеженою відповідальністю ""Стиль Д""",Кронштейн на фасаді,1.10 х 1.10 х 2,Московський просп. 256,2024-10-30,null,null,2019-10-30,null,null
5520,"Товариство з обмеженою відповідальністю ""Стиль Д""",Щит на фасаді,12.50 х 1.00 х 1,Московський просп. 278,2024-11-26,null,null,2019-11-26,null,null
5521,"Товариство з обмеженою відповідальністю ""Стиль Д""",Щит на фасаді,1.90 х 1.90 х 1,Московський просп. 278,2024-11-26,null,null,2019-11-26,null,null
5522,"Товариство з обмеженою відповідальністю ""Стиль Д""",Щит на фасаді,12.5 х 1.0 х 1,Московський просп. 278,2024-11-26,null,null,2019-11-26,null,null
5523,"Приватне підприємство ""Фармарост 2011""",Щит на фасаді,14.00 х 4.30 х 1,Любові Малої просп. 45,2022-09-06,null,null,2017-09-06,null,null
5524,"Приватне підприємство ""Фармарост 2011""",Щит на фасаді,10.00 х 2.90 х 1,Любові Малої просп. 45,2022-08-02,null,null,2017-08-02,null,null
5525,"Приватне підприємство ""Фармарост 2011""",Щит на фасаді,10.00 х 0.90 х 1,Любові Малої просп. 45,2022-08-02,null,null,2017-08-02,null,null
5526,"Товариство з обмеженою відповідальністю ""Стиль Д""",Щит на фасаді,4.50 х 1.30 х 1,Ярослава Мудрого вул. 29,2024-10-30,null,null,2019-10-30,null,null
5527,"Товариство з обмеженою відповідальністю ""Стиль Д""",Кронштейн на фасаді,0.60 х 1.00 х 2,Ярослава Мудрого вул. 29,2024-10-30,null,null,2019-10-30,null,null
5528,"Товариство з обмеженою відповідальністю ""Стиль Д""",Щит на фасаді,10.50 х 0.75 х 1,Валентинівська вул. 15,2023-12-18,null,null,2018-12-18,null,null
5529,"Товариство з обмеженою відповідальністю ""Стиль Д""",Щит на фасаді,5.75 х 1.00 х 1,Метробудівників вул. 3-Е,2024-03-27,null,null,2019-03-27,null,null
5530,"Товариство з обмеженою відповідальністю ""Стиль Д""",Щит на фасаді,2.15 х 2.25 х 1,Метробудівників вул. 3-Е,2025-01-29,null,null,2020-01-29,null,null
5531,"Приватне акціонерне товариство ""Страхова компанія ""Євроінс Україна""",Щит на фасаді,5.50 х 1.00 х 1,Благовіщенська вул. 38-Д,2021-12-31,4504,2021-12-31,2017-08-02,null,null
5532,"Товариство з обмеженою відповідальністю ""Стиль Д""",Кронштейн на фасаді,0.80 х 0.80 х 2,Амурський пров. 1,2024-11-13,null,null,2019-11-13,null,null
5533,"Товариство з обмеженою відповідальністю ""Стиль Д""",Щит на фасаді,10.00 х 1.00 х 1,Амурський пров. 1,2024-11-13,null,null,2019-11-13,null,null
5534,"Товариство з обмеженою відповідальністю ""Стиль Д""",Щит на фасаді,12.40 х 0.80 х 1,Валентинівська вул. 31,2024-05-22,null,null,2019-05-22,null,null
5535,"Товариство з обмеженою відповідальністю ""Стиль Д""",Щит на фасаді,10.00 х 1.00 х 1,Академіка Павлова вул. 120,2025-07-08,null,null,2020-07-08,null,null
5536,"Приватне підприємство-фірма ""Бриз""",Щит стаціонарний,6.00 х 3.00 х 1,Тюрінська вул. - Московський просп. 137,2022-06-30,5045,2022-06-30,2017-08-21,null,null
5537,"Приватне підприємство-фірма ""Бриз""",Щит стаціонарний,6.00 х 3.00 х 1,Барабашова вул. 36-Б,2021-06-30,4185,2021-06-30,2017-09-20,null,null
5538,"Товариство з обмеженою відповідальністю ""Стиль Д""",Щит на фасаді,2.75 х 0.60 х 1,Трінклера вул. - Культури вул. 8,2025-12-24,null,null,2020-12-24,null,null
5539,"Товариство з обмеженою відповідальністю ""Стиль Д""",Кронштейн на фасаді,1.00 х 1.50 х 2,Героїв Сталінграда просп. 134-К,2024-12-11,null,null,2019-12-11,null,null
5540,"Товариство з обмеженою відповідальністю ""Стиль Д""",Щит на фасаді,7.30 х 1.00 х 1,Московський просп. 256,2024-10-30,null,null,2019-10-30,null,null
5541,"Товариство з обмеженою відповідальністю ""Стиль Д""",Кронштейн на фасаді,1.00 х 1.50 х 2,Героїв Сталінграда просп. 134-К,2024-12-11,null,null,2019-12-11,null,null
5542,"Товариство з обмеженою відповідальністю ""Стиль Д""",Щит на фасаді,3.40 х 0.55 х 1,Гвардійців-Широнінців вул. 33,2024-11-13,null,null,2019-11-13,null,null
5543,"Товариство з обмеженою відповідальністю ""Стиль Д""",Щит на фасаді,5.25 х 1.65 х 1,Полтавський Шлях вул. 147,2024-02-06,null,null,2019-02-06,null,null
5544,"Товариство з обмеженою відповідальністю ""Ренткампані""",Кронштейн на фасаді,0.75 х 0.75 х 2,Пушкінська вул. 67/69,2021-12-31,4436,2021-12-31,2017-09-06,null,null
5545,"Товариство з обмеженою відповідальністю ""Ренткампані""",Щит на фасаді,1.20 х 1.20 х 1,Пушкінська вул. 67/69,2021-12-31,4436,2021-12-31,2017-09-06,null,null
5546,Фізична особа-підприємець Бойко Ольга Василівна,Кронштейн на фасаді,0.50 х 0.25 х 2,Пушкінська вул. 40,2022-09-06,null,null,2017-09-06,null,null
5547,Фізична особа-підприємець Марніч Ганна Олександрівна,Щит на фасаді,2.75 х 0.33 х 1,Науки просп. 31-А,2022-09-20,null,null,2017-09-20,null,null
5548,"Акціонерне товариство ""УкрСиббанк""",Щит на фасаді,18.25 х 1.30 х 1,Свободи вул. 10,2022-08-21,null,null,2017-08-21,null,null
5549,Фізична особа-підприємець Ковалик Ольга Олегівна,Щит на фасаді,3.00 х 0.70 х 1,Полтавський Шлях вул. 18,2023-04-11,null,null,2018-04-11,null,null
5550,Фізична особа-підприємець Ковалик Ольга Олегівна,Щит на фасаді,3.00 х 0.70 х 1,Полтавський Шлях вул. 18,2023-04-11,null,null,2018-04-11,null,null
5551,Фізична особа-підприємець Яковенко Денис Олександрович,Щит на фасаді,4.30 х 0.50 х 1,Сумська вул. 77/79,2021-12-31,4661,2021-12-31,2017-12-27,null,null
5552,"Товариство з обмеженою відповідальністю ""РТМ-Україна""",Щит стаціонарний,6.00 x 3.00 x 2,Амосова вул. 19,2022-06-30,4148,2021-06-30,2017-10-25,null,null
5553,"Товариство з обмеженою відповідальністю ""РТМ-Україна""",Щит стаціонарний,6.00 x 3.00 x 2,Ахсарова вул. 7,2022-06-30,4148,2021-06-30,2017-10-25,null,null
5554,"Товариство з обмеженою відповідальністю ""РТМ-Україна""",Щит стаціонарний,6.00 x 3.00 x 2,Камишева Івана вул. - Академіка Павлова вул.,2022-06-30,4148,2021-06-30,2017-12-27,null,null
5555,"Товариство з обмеженою відповідальністю ""РТМ-Україна""",Щит стаціонарний,6.00 x 3.00 x 2,Василя Стуса вул. 4 - Дідро вул.,2022-06-30,4148,2021-06-30,2017-12-27,null,null
5556,"Товариство з обмеженою відповідальністю ""РТМ-Україна""",Щит стаціонарний,6.00 x 3.00 x 2,Василя Стуса вул. - Гвардійців-Широнінців вул. 29-А,2022-06-30,4148,2021-06-30,2017-10-25,null,null
5557,"Приватне підприємство ""Юджи""",Щит стаціонарний,6.00 х 3.00 х 2,Озерянська вул. (міст),2024-01-01,null,null,2019-04-10,null,null
5558,"Приватне підприємство-фірма ""Бриз""",Щит стаціонарний,6.00 х 3.00 х 2,Барабашова вул. 7,2021-06-30,4185,2021-06-30,2017-09-20,null,null
5559,"Приватне підприємство-фірма ""Бриз""",Щит стаціонарний,6.00 х 3.00 х 2,Барабашова вул. - Героїв Праці вул. 2-Г,2021-06-30,4185,2021-06-30,2017-09-20,null,null
5560,Фізична особа-підприємець Кравцов Олександр Олександрович,Щит стаціонарний,1.50 х 3.00 х 2,Героїв Праці вул. 2-А,2022-06-30,5154,2022-06-30,2017-08-21,null,null
5561,"Мале приватне підприємство ""Таіра""",Щит стаціонарний,1.20 х 1.80 х 2,Мистецтв вул. - Пушкінська вул.,2022-06-30,4928,2022-06-30,2017-08-21,null,null
5562,"Товариство з обмеженою відповідальністю ""Автодом Харків""",Щит стаціонарний,1.06 х 4.52 х 2,Клочківська вул. 94-А,2022-06-30,4914,2022-06-30,2017-08-21,null,null
5563,"Товариство з обмеженою відповідальністю ""Автодом Харків""",Прапор,1.00 x 3.00 x 3,Клочківська вул. 94-А,2022-08-21,null,null,2017-08-21,null,null
5564,"Акціонерне товариство ""Державний ощадний банк України""",Щит на фасаді,0.50 х 0.50 х 1,Сумська вул. 59,2022-09-20,null,null,2017-09-20,null,null
5565,"Акціонерне товариство ""Державний ощадний банк України""",Щит на фасаді,0.50 х 0.50 х 1,Ярослава Мудрого вул. 34,2021-12-31,2244,2021-12-31,2017-09-06,null,null
5566,"Акціонерне товариство ""Державний ощадний банк України""",Щит на фасаді,9.60 х 0.90 х 1,Ярослава Мудрого вул. 34,2021-12-31,2244,2021-12-31,2017-09-06,null,null
5567,"Акціонерне товариство ""Державний ощадний банк України""",Щит на фасаді,0.50 х 0.50 х 1,Амурська вул. - Академіка Павлова вул. 165-В,2022-09-20,null,null,2017-09-20,null,null
5568,Фізична особа-підприємець Тулянкіна Вікторія Сергіївнв,Щит на фасаді,10.32 х 0.70 х 1,Пушкінська вул. 67,2021-12-31,4557,2021-12-31,2019-03-27,null,null
5569,Фізична особа-підприємець Ляшенко Леонід Володимирович,Щит на фасаді,14.25 х 1.00 х 1,Науки просп. 41/43,2023-03-28,null,null,2018-03-28,null,null
5570,"Товариство з обмеженою відповідальністю ""Пивні магазини""",Щит на фасаді,3.00 х 0.80 х 1,Валентинівська вул. 23-Е,2022-09-20,null,null,2017-09-20,null,null
5571,"Товариство з обмеженою відповідальністю ""Пивні магазини""",Щит на фасаді,3.00 х 0.80 х 1,Холодногірська вул. 179,2022-11-15,null,null,2017-11-15,null,null
5572,"Товариство з обмеженою відповідальністю ""Пивні магазини""",Щит на фасаді,3.00 х 0.80 х 1,Московський просп. 28,2022-09-20,null,null,2017-09-20,null,null
5573,"Товариство з обмеженою відповідальністю ""Пивні магазини""",Щит на фасаді,3.00 х 0.80 х 1,Героїв Сталінграда просп. 183,2022-09-20,null,null,2017-09-20,null,null
5574,"Товариство з обмеженою відповідальністю ""Новаторбуд""",Щит на фасаді,1.38 х 0.70 х 1,Спортивний пров. - Московський просп. 137,2022-11-15,null,null,2017-11-15,null,null
5575,"Товариство з обмеженою відповідальністю ""Новаторбуд""",Щит на фасаді,4.00 х 0.70 х 1,Московський просп. 137,2022-11-15,null,null,2017-11-15,null,null
5576,"Приватне підприємство ""Юджи""",Щит стаціонарний,6.00 х 3.00 х 1,Віринська вул. - Ново-Віринська вул.,2022-06-30,5004,2022-06-30,2017-09-06,null,null
5577,Фізична особа-підприємець Вітько Максим Анатолійович,Щит на фасаді,11.5 х 1.13 х 1,Мечнікова пров. - Пушкінська вул. 11/13,2022-09-20,null,null,2017-09-20,null,null
5578,Фізична особа-підприємець Курцев Іван Дмитрович,Щит на фасаді,1.40 х 2.10 х 1,Московський просп. 247,2022-10-11,null,null,2017-10-11,null,null
5579,"Товариство з обмеженою відповідальністю ""Глорія фарм""",Щит на фасаді,3.00 х 0.70 х 1,Людвіга Свободи просп. 31,2022-09-20,null,null,2017-09-20,null,null
5580,"Акціонерне товариство ""Скай банк""",Щит на фасаді,7.50 х 1.50 х 1,Некрасова пров. - Римарська вул. 10,2022-09-20,null,null,2017-09-20,null,null
5581,"Підприємство з іноземними інвестиціями ""МакДональдз Юкрейн Лтд""",Щит на фасаді,3.00 х 3.00 х 1,Полтавський Шлях вул. 58/1,2022-09-06,null,null,2017-09-06,null,null
